,batch_size,momentum,lr,width,weight_decay,grawa,mgrawa,avg_train_loss,avg_train_error,avg_test_loss,avg_test_error
0,128,0.1,0.1,6,0,98.3818588256836,460.0019836425781,5.846395492553711e-05,0.0,1.1870721675872802,24.019999999999996
1,32,0.5,0.05,8,0.0001,438.8007507324219,2182.42236328125,7.636427879333496e-05,0.002000000000002,0.8212766186237335,18.520000000000003
2,32,0.5,0.075,8,0.01,77203.9140625,310843.90625,0.013503254508972167,0.0,0.3705305908203125,11.250000000000004
3,512,0.1,0.075,4,0.01,127891.1171875,581205.3125,0.020038353872299193,0.0,0.5753714872360229,17.44
4,128,0.5,0.05,8,0.0001,268.2293701171875,1286.874267578125,0.00013395084381103515,0.0,1.0906875675201415,23.509999999999998
5,512,0.1,0.05,6,0.0001,1777.810546875,8831.46875,0.001338408203125,0.0,1.5858367301940919,33.87
6,128,0.5,0.075,8,0,76.4729232788086,349.9715881347656,4.557823181152344e-05,0.0,1.0765505546569825,21.87
7,512,0.9,0.075,4,0.0001,353.4591369628906,1811.9959716796875,0.00022421405792236328,0.0,0.9380402048110962,21.599999999999998
8,32,0.9,0.075,8,0.0001,100.56446075439453,662.1385498046875,0.00018286892890930176,0.0,0.5499276111125946,14.290000000000003
9,128,0.5,0.05,8,0,186.97972106933594,879.7681274414062,0.00010874280929565429,0.0,1.1175313849449158,24.11
10,128,0.5,0.05,4,0,68.966064453125,339.66461181640625,3.874959945678711e-05,0.0,1.5068433925628661,27.11
11,128,0.5,0.075,4,0,52.382835388183594,258.6164855957031,2.9455852508544923e-05,0.0,1.377246847820282,25.019999999999996
12,32,0.1,0.05,4,0,45.087921142578125,227.4794921875,2.788320541381836e-05,0.0,1.2186077994346618,23.87
13,128,0.9,0.1,4,0.0001,139.38067626953125,953.0409545898438,0.00020024993896484376,0.0,0.6107662448883057,15.02
14,128,0.1,0.05,4,0.01,177439.765625,664429.75,0.018179389667510985,0.0,0.4827908908843994,14.449999999999996
